date,floor,garage,link,m2,off,price,rooms,title
27-12-2018,,1,https://www.idealista.com/inmueble/36938960/,700,0,13500000,4,"Chalet pareado en La Dreta de l'Eixample, Barcelona"
27-12-2018,5ª,1,https://www.idealista.com/inmueble/39576792/,695,0,7500000,5,"Piso en paseo de gracia, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/39634353/,503,0,6000000,4,"Dúplex en Provença, La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,1,https://www.idealista.com/inmueble/39741254/,503,0,6000000,4,"Dúplex en La Dreta de l'Eixample, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/35787125/,503,0,6000000,4,"Dúplex en calle de Provença, La Dreta de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/38792976/,882,0,4460000,3,"Piso en La Sagrada Família, Barcelona"
27-12-2018,3ª,0,https://www.idealista.com/inmueble/34213761/,250,0,4000000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/82012162/,315,0,3900000,4,"Ático en La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,1,https://www.idealista.com/inmueble/82692206/,402,0,3900000,5,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,1,https://www.idealista.com/inmueble/40566464/,315,0,3900000,5,"Dúplex en La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/39383634/,315,0,3900000,5,"Dúplex en La Dreta de l'Eixample, Barcelona"
27-12-2018,8ª,0,https://www.idealista.com/inmueble/81923024/,315,0,3900000,5,"Ático en La Dreta de l'Eixample, Barcelona"
27-12-2018,9ª,0,https://www.idealista.com/inmueble/81672034/,315,0,3900000,5,"Ático en La Dreta de l'Eixample, Barcelona"
27-12-2018,9ª,0,https://www.idealista.com/inmueble/81672037/,315,0,3900000,5,"Ático en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/33212651/,1.2,0,3700000,3,"Piso en La Sagrada Família, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/30565389/,519,0,3625000,11,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/40510415/,304,3900000,3600000,4,"Ático en Pau Claris, La Dreta de l'Eixample, Barcelona"
27-12-2018,5ª,0,https://www.idealista.com/inmueble/40110572/,250,0,3500000,4,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona"
27-12-2018,1ª,0,https://www.idealista.com/inmueble/81919268/,246,0,3500000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/39753867/,250,0,3500000,4,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona"
27-12-2018,2ª,0,https://www.idealista.com/inmueble/36003792/,248,0,3500000,5,"Piso en rambla de catalunya, La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/82871770/,226,0,3500000,4,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/39441665/,230,0,3500000,4,"Piso en paseo de gràcia, La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/81411081/,250,0,3500000,4,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,,0,https://www.idealista.com/inmueble/82045989/,226,0,3500000,3,"Piso en La Dreta de l'Eixample, Barcelona"
27-12-2018,6ª,0,https://www.idealista.com/inmueble/37046111/,250,0,3500000,4,"Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona"
