floor,garage,m2,price,rooms,target,zone,prob
Casa,1,700,13500000,4,0,Dreta de l'Eixample,0.136
5ª,1,695,7500000,5,0,Dreta de l'Eixample,0.18
3ª,0,503,6000000,4,0,Dreta de l'Eixample,0.206
3ª,1,503,6000000,4,0,Dreta de l'Eixample,0.2
3ª,0,503,6000000,4,0,Dreta de l'Eixample,0.206
Casa,0,882,4460000,3,0,La Sagrada Família,0.21
3ª,0,250,4000000,4,0,Dreta de l'Eixample,0.144
Casa,0,315,3900000,4,0,Dreta de l'Eixample,0.196
Atico,1,402,3900000,5,0,Dreta de l'Eixample,0.174
Atico,1,315,3900000,5,0,Dreta de l'Eixample,0.186
Atico,0,315,3900000,5,0,Dreta de l'Eixample,0.182
Atico,0,315,3900000,5,0,Dreta de l'Eixample,0.182
Atico,0,315,3900000,5,0,Dreta de l'Eixample,0.182
Atico,0,315,3900000,5,0,Dreta de l'Eixample,0.182
6ª,0,1.2,3700000,3,0,La Sagrada Família,0.226
6ª,0,304,3600000,4,1,Dreta de l'Eixample,0.664
5ª,0,250,3500000,4,0,Dreta de l'Eixample,0.062
1ª,0,246,3500000,4,0,Dreta de l'Eixample,0.15
6ª,0,250,3500000,4,0,Dreta de l'Eixample,0.198
2ª,0,248,3500000,5,0,Dreta de l'Eixample,0.156
6ª,0,226,3500000,4,0,Dreta de l'Eixample,0.248
6ª,0,230,3500000,4,0,Dreta de l'Eixample,0.254
6ª,0,250,3500000,4,0,Dreta de l'Eixample,0.198
Casa,0,226,3500000,3,0,Dreta de l'Eixample,0.042
6ª,0,250,3500000,4,0,Dreta de l'Eixample,0.198
6ª,0,210,3500000,4,0,Dreta de l'Eixample,0.298
6ª,0,250,3500000,4,0,Dreta de l'Eixample,0.198
6ª,0,250,3500000,4,0,Dreta de l'Eixample,0.198
Casa,0,250,3500000,4,0,Dreta de l'Eixample,0.038
2ª,0,96,37000,4,0,La Sagrada Família,0.374
1ª,0,81,49000,3,0,Sant Antoni,0.392
2ª,0,81,58000,3,0,Dreta de l'Eixample,0.424
Bajo,0,18,78000,3,1,Nova Esquerra de l'Eixample,0.76
Bajo,0,14,80890,3,0,La Sagrada Família,0.47
Bajo,0,18,86000,3,0,Nova Esquerra de l'Eixample,0.634
3ª,0,20,98000,1,0,Dreta de l'Eixample,0.326
6ª,0,67,105000,3,0,Sant Antoni,0.516
3ª,0,36,106764,1,0,Sant Antoni,0.41
Entreplanta,0,36,110000,2,0,Antiga Esquerra de l'Eixample,0.456
2ª,0,40,120000,3,0,Nova Esquerra de l'Eixample,0.524
Entreplanta,0,25,125000,3,0,Dreta de l'Eixample,0.38
4ª,0,40,130000,3,0,La Sagrada Família,0.424
Bajo,0,30,140000,1,0,Dreta de l'Eixample,0.372
1ª,0,40,145000,1,0,La Sagrada Família,0.586
4ª,0,120,152000,4,0,Dreta de l'Eixample,0.55
6ª,0,45,155000,2,0,Dreta de l'Eixample,0.472
5ª,0,43,159000,3,1,La Sagrada Família,0.978
5ª,0,43,159000,3,1,La Sagrada Família,0.978
Bajo,0,40,159000,3,0,La Sagrada Família,0.552
Bajo,0,45,159000,3,0,Nova Esquerra de l'Eixample,0.586
Bajo,0,45,159000,1,0,Nova Esquerra de l'Eixample,0.614
5ª,0,27,159900,1,0,Nova Esquerra de l'Eixample,0.45
Bajo,0,46,160000,2,0,Antiga Esquerra de l'Eixample,0.534
6ª,0,35,164000,1,1,Nova Esquerra de l'Eixample,0.822
Bajo,0,40,165000,3,0,El Fort Pienc,0.652
2ª,0,34,167000,1,0,Sant Antoni,0.366
5ª,0,50,169000,3,1,La Sagrada Família,0.964
5ª,0,48,169000,3,1,La Sagrada Família,0.98
